frame,timestamp_sec,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,qpos_15,qpos_16,qpos_17,qpos_18,qpos_19,qpos_20,qpos_21,qpos_22,qpos_23,qpos_24,qpos_25,qpos_26,qpos_27,qpos_28,qpos_29,qpos_30,qpos_31,qpos_32,qpos_33,qpos_34,qpos_35,qpos_36,qpos_37,qpos_38,qpos_39,qpos_40,qpos_41,qpos_42,qpos_43,qpos_44,qpos_45,qpos_46,qpos_47,qpos_48,qpos_49,qpos_50,qpos_51,qpos_52,qpos_53,qpos_54,qpos_55,qpos_56,qpos_57,qpos_58,qpos_59,qpos_60,qpos_61,qpos_62,qpos_63,qpos_64,qpos_65,qpos_66,qpos_67,qpos_68,qpos_69,qpos_70,qpos_71,qpos_72,qpos_73,qpos_74,qpos_75,qpos_76,qpos_77,qpos_78,qpos_79,qpos_80
10,0.833,-0.03719383,0.0,0.8383144,0.97333074,0.11415562,0.003921188,0.1989481,0.9994792,5.129775e-09,2.1162605e-09,0.032269765,1.0,0.0,-1.3281477e-18,8.053589e-18,1.0,0.0,-1.3281477e-18,8.053589e-18,0.9937575,0.0028437688,0.01953188,0.10980216,0.63941675,0.09283155,0.70652837,-0.28869733,0.8701922,0.36347935,-0.052597016,-0.32845366,-0.9461359,-0.10700962,0.115259714,0.2830035,0.36034653,0.7861517,0.73370475,0.72431,0.71270317,0.7170905,-0.2401586,-0.652299,-0.051099278,0.8090356,0.32098234,-0.32950118,0.3658698,0.84353894,0.40713724,0.27396125,0.21823505,0.34232864,0.6993622,0.7099685,0.7145721,0.66218066,0.76757133,-0.6170018,0.05239717,-0.16552202,0.8292281,0.55302167,0.079236664,0.01641102,0.90742946,0.41774496,-0.03028768,0.033816766,0.74593866,-0.61433583,-0.22264165,-0.12883206,0.8243906,0.4713905,0.31327456,-0.005501055,0.8923178,0.4464303,0.008873393,0.06625919
11,0.917,-0.040709876,0.0,0.8382641,0.97241235,0.1119808,0.016246412,0.20398663,0.9991917,-3.6785421e-09,2.3122502e-09,0.04019916,1.0,0.0,3.469447e-18,1.0842022e-17,1.0,0.0,3.469447e-18,1.0842022e-17,0.9940361,0.005446481,0.012331343,0.108215354,0.6432197,0.10454886,0.69837105,-0.29599968,0.86503696,0.37020388,-0.06829838,-0.33165565,-0.96503437,-0.10048084,0.059036028,0.23479141,0.3525056,0.7456929,0.6999798,0.71571106,0.71246636,0.70762974,-0.24807015,-0.65891284,-0.059625436,0.7996642,0.32381606,-0.34425837,0.37035996,0.88556385,0.37350988,0.16728055,0.21973686,0.3747259,0.600505,0.6613001,0.6377725,0.55261993,0.7636949,-0.62082636,0.031556446,-0.17420949,0.82497483,0.55692315,0.09470337,0.016863499,0.9060716,0.420757,-0.031808246,0.031401616,0.74064,-0.6132906,-0.23705739,-0.1383143,0.8197317,0.47122434,0.32554328,-0.003013632,0.89121807,0.44799072,0.0031065065,0.0708877
12,1.0,-0.044780996,0.0,0.8380998,0.97226727,0.0980653,0.032186467,0.20986561,0.9991331,1.0339662e-09,5.450764e-10,0.04162914,1.0,0.0,-1.540744e-33,-1.0842022e-17,1.0,0.0,-1.540744e-33,-1.0842022e-17,0.995201,0.014189925,-0.009002003,0.09639817,0.6455284,0.11963624,0.6800666,-0.32632765,0.8423188,0.39602193,-0.10921285,-0.34891015,-0.9836841,-0.02905383,0.007526624,0.17738304,0.36683327,0.71419173,0.6731981,0.7117433,0.715976,0.687793,-0.246135,-0.6805243,-0.056965347,0.79440004,0.3164988,-0.37313658,0.3598975,0.8926842,0.38469693,0.13929243,0.18899937,0.41284993,0.5046118,0.6273065,0.5747722,0.47687852,0.761412,-0.6212132,0.0036934037,-0.18528965,0.8143125,0.56637174,0.1248609,0.022975562,0.9018448,0.428469,-0.04268221,0.035615854,0.73780173,-0.6063905,-0.25357214,-0.15375417,0.8118095,0.47613338,0.33802506,-0.0011928006,0.8853274,0.4587147,-0.0026514358,0.07595533
13,1.083,-0.047153156,0.0,0.8374363,0.9728521,0.079765625,0.045890603,0.21234459,0.99854916,-3.8707695e-09,-1.0450806e-09,0.053847577,1.0,0.0,1.540744e-33,1.2576745e-17,1.0,0.0,1.540744e-33,1.2576745e-17,0.99451154,0.039195254,-0.034449585,0.09068516,0.6432742,0.14423929,0.6697803,-0.34174213,0.8416244,0.3969938,-0.1343839,-0.3405955,-0.97907305,-0.037154183,0.014284112,0.19957842,0.33218566,0.68729424,0.6672172,0.6972456,0.6917097,0.6545233,-0.24910592,-0.71103215,-0.06307731,0.789748,0.33199683,-0.37343702,0.35583845,0.91141677,0.33906555,0.19695501,0.12475083,0.44660592,0.47433588,0.586921,0.5378517,0.44607383,0.76282185,-0.6165144,-0.011989597,-0.19459991,0.80813205,0.5707766,0.14224672,0.030042058,0.8984626,0.43307334,-0.052913006,0.049119066,0.73783576,-0.6000234,-0.25946137,-0.1680777,0.8024699,0.48973155,0.34088862,-0.00011410937,0.88354117,0.46035138,-0.007807386,0.08585251
14,1.167,-0.04578247,0.0,0.8361984,0.97278595,0.0742208,0.05543151,0.21238191,0.9978794,2.1350177e-09,1.2778281e-10,0.06509014,1.0,0.0,6.938894e-18,-1.9081958e-17,1.0,0.0,6.938894e-18,-1.9081958e-17,0.99396574,0.035861377,-0.05399907,0.08848812,0.6189279,0.16332406,0.6752229,-0.3665073,0.83723223,0.40560293,-0.18761607,-0.31516448,-0.9782368,0.00775427,-0.0122001115,0.20698747,0.3251659,0.6735921,0.66438425,0.686025,0.67748076,0.60337335,-0.26225024,-0.751216,-0.053291123,0.8108136,0.34664172,-0.3376534,0.3292583,0.91300505,0.32624656,0.22077945,0.106025495,0.47125584,0.475547,0.5647314,0.5246681,0.4487647,0.7617211,-0.6159779,-0.010339212,-0.20061246,0.8052962,0.5752362,0.13931508,0.03453547,0.89849293,0.4324789,-0.059134584,0.046642713,0.73667824,-0.60125166,-0.25485006,-0.1756504,0.79924047,0.50166696,0.33097482,-0.0007503069,0.8854507,0.45820418,-0.008641505,0.07714421
15,1.25,-0.041637417,0.0,0.83373564,0.9735208,0.07009049,0.063824914,0.20801659,0.9969269,-6.4674275e-09,2.3954545e-09,0.07833774,1.0,0.0,-6.938894e-18,1.7347235e-17,1.0,0.0,-6.938894e-18,1.7347235e-17,0.9922134,0.029484302,-0.06549352,0.101753615,0.5941219,0.17838185,0.67511356,-0.3992754,0.83638304,0.406975,-0.23348464,-0.2834072,-0.9766038,0.03620949,-0.01965042,0.21106325,0.31962392,0.68404067,0.67376894,0.6880987,0.6850006,0.5627396,-0.2734771,-0.77918273,-0.037532642,0.83027077,0.34396014,-0.3184383,0.30156088,0.93216836,0.26507467,0.18568504,0.16223033,0.49580833,0.4292925,0.53462154,0.48841283,0.36356506,0.750647,-0.62890786,0.009175587,-0.20228651,0.7875308,0.6064534,0.105462104,0.02978717,0.91121614,0.40695575,-0.049605627,0.04014232,0.72687167,-0.6162485,-0.2453424,-0.17805187,0.7857485,0.5344126,0.31135947,-0.0076005314,0.89559764,0.43984833,-0.0016352114,0.0666008
16,1.333,-0.03525628,0.0,0.8314239,0.9732834,0.06371042,0.07749267,0.20653145,0.9935685,-6.5605374e-09,-4.3009547e-09,0.113232724,1.0,0.0,3.081488e-33,2.6888214e-17,1.0,0.0,3.081488e-33,2.6888214e-17,0.9923739,0.005291209,-0.09488006,0.07851035,0.57133657,0.208377,0.6546401,-0.44899875,0.8676428,0.37257665,-0.22095262,-0.24405438,-0.97357714,0.026167857,0.009074209,0.22667257,0.3057127,0.69962066,0.68786883,0.6922216,0.7070286,0.5191311,-0.30693763,-0.79762626,0.009193213,0.91410005,0.1852568,-0.3120953,0.1808245,0.8785741,0.38286558,0.15856595,0.23744144,0.51850104,0.38336733,0.531219,0.46518692,0.31902665,0.7474632,-0.63036764,0.009211922,-0.20940502,0.7793897,0.6185498,0.09501035,0.030346204,0.9164089,0.3949996,-0.049375977,0.041618463,0.7244005,-0.62294185,-0.22733058,-0.18843596,0.7908777,0.54862857,0.27075166,-0.014584899,0.90281606,0.4261132,0.013763044,0.05622511
17,1.417,-0.02992962,0.0,0.8292611,0.96954083,0.07492677,0.092925705,0.21387233,0.9869182,2.1523159e-09,-1.1919591e-08,0.16122176,1.0,0.0,-3.081488e-33,-1.3877788e-17,1.0,0.0,-3.081488e-33,-1.3877788e-17,0.99285126,-0.032769125,-0.11408962,0.01249324,0.5523099,0.24051169,0.63180554,-0.48778042,0.8839307,0.3508768,-0.20932747,-0.22745125,-0.9670009,0.011258956,0.033839576,0.25226447,0.30630302,0.7092048,0.7030658,0.69697785,0.7310335,0.4794737,-0.36659423,-0.79649717,0.03613743,0.9532912,0.04676758,-0.2854904,0.08685599,0.8069143,0.52560747,0.16487524,0.21317172,0.53715456,0.36284828,0.49519455,0.43507162,0.3023368,0.73641485,-0.6384691,0.0009884356,-0.22371726,0.77456146,0.6243991,0.09614866,0.0305881,0.9169397,0.39334428,-0.049839515,0.044921223,0.70975924,-0.6419862,-0.20804666,-0.20201999,0.7884891,0.56738114,0.23635314,-0.022377567,0.907039,0.4156912,0.026146851,0.06162374
18,1.5,-0.025229976,0.0,0.8278558,0.9622085,0.09311136,0.10525205,0.23325315,0.9799723,7.0209643e-09,1.7314817e-09,0.1991338,1.0,0.0,-4.622232e-33,-2.4286129e-17,1.0,0.0,-4.622232e-33,-2.4286129e-17,0.9874565,-0.06507739,-0.12139997,-0.07717938,0.5283827,0.268533,0.60756224,-0.5287437,0.89556724,0.3339894,-0.20037235,-0.21508448,-0.95882237,0.0076213684,0.052531786,0.27900168,0.31396088,0.71779424,0.7238232,0.7070544,0.75243866,0.44389525,-0.42813507,-0.7859164,0.044640582,0.9674017,-0.0026682108,-0.24837731,0.049351726,0.7648879,0.57335705,0.16603963,0.24215493,0.5342872,0.37721825,0.4745033,0.44878727,0.31325918,0.73603076,-0.6305483,-0.018286452,-0.24562797,0.7808553,0.61190814,0.121046826,0.03436781,0.9185663,0.3882992,-0.06089399,0.041852944,0.6980484,-0.65130585,-0.19899164,-0.22120453,0.79075015,0.5670634,0.22948818,-0.022101115,0.90668887,0.41582873,0.024493122,0.06634658
19,1.583,-0.021735383,0.0,0.82704383,0.957068,0.103499845,0.11906074,0.243173,0.9749979,7.8220825e-09,6.8739094e-09,0.22221419,1.0,0.0,1.3877788e-17,-1.540744e-33,1.0,0.0,1.3877788e-17,-1.540744e-33,0.9798876,-0.07623782,-0.12739217,-0.13333903,0.51627254,0.28731388,0.595013,-0.5448604,0.9077343,0.3228081,-0.1631065,-0.21262579,-0.9554089,-0.026358683,0.09616036,0.27794302,0.32273877,0.7350812,0.7487546,0.72813034,0.7896392,0.426454,-0.46431273,-0.7736501,0.06337296,0.97498345,-0.029693343,-0.21790281,0.032310266,0.7545579,0.582337,0.14441273,0.26583996,0.5399888,0.40158272,0.4666531,0.46220356,0.3251834,0.7323571,-0.62816316,-0.0357855,-0.2603527,0.77930945,0.6109886,0.1346792,0.035088144,0.9235508,0.3756843,-0.06626027,0.039048873,0.68768495,-0.6579068,-0.19725594,-0.23524067,0.7890555,0.5730611,0.21986617,-0.02551787,0.90509284,0.41651765,0.028638035,0.080622114
