frame,timestamp_ms,vrm_bone,rot_x,rot_y,rot_z,rot_w
6,500,hips,0.1106,0.18202,0.01442,0.97695
6,500,spine,-0.0,0.01198,-0.0,0.99993
6,500,chest,0.0,-0.0,0.0,1.0
6,500,neck,0.0,-0.0,0.0,1.0
6,500,head,-0.05203,0.07802,0.0168,0.99545
6,500,leftUpperArm,0.06692,-0.26937,-0.72073,0.63522
6,500,leftLowerArm,0.34853,-0.31739,0.03415,0.88127
6,500,leftHand,-0.17598,0.27608,-0.16479,-0.93041
6,500,rightUpperArm,-0.21389,-0.02181,0.66874,0.71173
6,500,rightLowerArm,0.34693,0.36632,0.26641,0.82126
6,500,rightHand,0.43153,0.23879,-0.26722,0.82786
6,500,leftUpperLeg,-0.59192,-0.14815,-0.09048,0.78708
6,500,leftLowerLeg,0.55137,0.01502,-0.04123,0.83311
6,500,leftFoot,0.37122,0.02246,0.02783,0.92786
6,500,rightUpperLeg,-0.59404,-0.11131,0.2059,0.76963
6,500,rightLowerLeg,0.46401,-0.00703,-0.30051,0.83327
6,500,rightFoot,0.42151,0.03943,-0.00855,0.90593
7,583,hips,0.10816,0.18439,0.01305,0.9768
7,583,spine,0.0,0.02128,0.0,0.99977
7,583,chest,0.0,-0.0,0.0,1.0
7,583,neck,0.0,-0.0,0.0,1.0
7,583,head,-0.03261,0.10126,0.00083,0.99432
7,583,leftUpperArm,0.07688,-0.26905,-0.71913,0.63605
7,583,leftLowerArm,0.35626,-0.32529,0.0404,0.87501
7,583,leftHand,-0.16036,0.28092,-0.16092,-0.93246
7,583,rightUpperArm,-0.21997,-0.03179,0.66644,0.71166
7,583,rightLowerArm,0.34221,0.36346,0.27635,0.82123
7,583,rightHand,0.41323,0.227,-0.30726,0.82662
7,583,leftUpperLeg,-0.59263,-0.15037,-0.0891,0.78628
7,583,leftLowerLeg,0.54619,0.01481,-0.04252,0.83645
7,583,leftFoot,0.38367,0.02113,0.02729,0.92283
7,583,rightUpperLeg,-0.59367,-0.11462,0.20519,0.76962
7,583,rightLowerLeg,0.45993,-0.0059,-0.29853,0.83625
7,583,rightFoot,0.43138,0.03964,-0.00984,0.90125
8,667,hips,0.11016,0.18845,0.00905,0.97584
8,667,spine,-0.0,0.0273,0.0,0.99963
8,667,chest,0.0,0.0,0.0,1.0
8,667,neck,0.0,0.0,0.0,1.0
8,667,head,-0.01593,0.10848,-0.01227,0.99389
