frame,timestamp_ms,label,score,bbox_x,bbox_y,bbox_width,bbox_height
38,3167,person,0.803,0.3278,0.2555,0.4181,0.675
38,3167,chair,0.601,0.2167,0.5352,0.2833,0.3797
38,3167,chair,0.402,0.6792,0.6164,0.3111,0.3258
39,3250,person,0.768,0.3139,0.2781,0.4167,0.6617
39,3250,chair,0.59,0.2181,0.5305,0.2778,0.3836
39,3250,chair,0.4,0.675,0.6102,0.3139,0.3328
40,3333,person,0.781,0.3153,0.2773,0.3903,0.6633
40,3333,chair,0.588,0.2222,0.5281,0.2722,0.3859
40,3333,chair,0.442,0.675,0.6062,0.3139,0.3367
41,3417,person,0.747,0.3222,0.2609,0.3667,0.6961
41,3417,chair,0.574,0.2208,0.5227,0.3236,0.3969
41,3417,chair,0.422,0.6819,0.6203,0.3069,0.3203
42,3500,person,0.757,0.2917,0.2617,0.3931,0.6781
42,3500,chair,0.577,0.2222,0.5234,0.2611,0.3914
42,3500,chair,0.417,0.6806,0.6109,0.3083,0.3312
43,3583,person,0.752,0.2972,0.2594,0.3875,0.6797
43,3583,chair,0.608,0.2181,0.5234,0.2583,0.3898
43,3583,chair,0.426,0.6847,0.6125,0.3028,0.3297
44,3667,person,0.783,0.3014,0.2641,0.3806,0.6766
44,3667,chair,0.596,0.2125,0.5297,0.2597,0.3867
44,3667,chair,0.44,0.6833,0.6086,0.3056,0.3328
45,3750,person,0.785,0.3083,0.2656,0.375,0.6734
45,3750,chair,0.617,0.2111,0.5289,0.2569,0.3867
45,3750,chair,0.471,0.6819,0.6,0.3069,0.343
46,3833,person,0.783,0.3014,0.2664,0.3806,0.6734
46,3833,chair,0.604,0.2125,0.5289,0.2556,0.3875
46,3833,chair,0.464,0.6847,0.5992,0.3028,0.343
47,3917,person,0.788,0.3111,0.2664,0.3736,0.6719
47,3917,chair,0.599,0.2125,0.5289,0.2556,0.3875
47,3917,chair,0.46,0.6875,0.6039,0.3,0.3375
48,4000,person,0.78,0.3153,0.2656,0.3681,0.6719
48,4000,chair,0.607,0.2181,0.5227,0.2514,0.3898
48,4000,chair,0.455,0.6861,0.5984,0.3014,0.3438
49,4083,person,0.769,0.3125,0.268,0.3694,0.6703
49,4083,chair,0.604,0.2181,0.5219,0.2528,0.3906
49,4083,chair,0.444,0.6861,0.5984,0.3014,0.3445
50,4167,person,0.773,0.3292,0.2617,0.35,0.693
50,4167,chair,0.612,0.2167,0.5203,0.2514,0.393
50,4167,chair,0.43,0.6875,0.5984,0.3,0.3445
51,4250,person,0.77,0.3306,0.2602,0.3472,0.6945
51,4250,chair,0.611,0.2167,0.5195,0.2528,0.3937
51,4250,chair,0.433,0.6903,0.6086,0.2972,0.3336
52,4333,person,0.78,0.3292,0.2594,0.3486,0.6969
52,4333,chair,0.613,0.2167,0.5195,0.2486,0.3937
52,4333,chair,0.433,0.6889,0.6094,0.2986,0.3328
53,4417,person,0.762,0.325,0.2609,0.3542,0.6953
53,4417,chair,0.612,0.2167,0.5219,0.25,0.3914
53,4417,chair,0.42,0.6903,0.6133,0.2972,0.3281
54,4500,person,0.743,0.325,0.2641,0.3542,0.6906
54,4500,chair,0.605,0.2167,0.5211,0.2472,0.3922
54,4500,chair,0.414,0.6889,0.6109,0.2986,0.332
55,4583,person,0.737,0.3236,0.2641,0.3556,0.6906
55,4583,chair,0.607,0.2153,0.5211,0.2472,0.3922
55,4583,chair,0.414,0.6875,0.6172,0.2986,0.3258
56,4667,person,0.742,0.325,0.2648,0.3528,0.6891
56,4667,chair,0.607,0.2139,0.5203,0.2444,0.3922
56,4667,chair,0.423,0.6903,0.6102,0.2972,0.3328
57,4750,person,0.744,0.3236,0.2656,0.3556,0.6883
57,4750,chair,0.608,0.2139,0.5203,0.2444,0.393
57,4750,chair,0.428,0.6931,0.6188,0.2958,0.3242
58,4833,person,0.752,0.3208,0.2625,0.3597,0.6914
58,4833,chair,0.603,0.2153,0.5195,0.2458,0.3937
58,4833,chair,0.42,0.6931,0.6203,0.2944,0.3219
59,4917,person,0.756,0.3236,0.2602,0.3556,0.6945
59,4917,chair,0.61,0.2153,0.5211,0.2486,0.3922
59,4917,chair,0.434,0.6889,0.6094,0.2986,0.3336
60,5000,person,0.764,0.3264,0.2602,0.3528,0.6953
60,5000,chair,0.607,0.2153,0.5203,0.25,0.3922
60,5000,chair,0.449,0.6903,0.6055,0.2986,0.3383
61,5083,person,0.788,0.3194,0.2773,0.3667,0.6641
61,5083,chair,0.628,0.2153,0.5211,0.25,0.3914
61,5083,chair,0.453,0.6903,0.6148,0.2972,0.3273
62,5167,person,0.777,0.3153,0.2773,0.3722,0.6648
62,5167,chair,0.625,0.2139,0.5211,0.25,0.3914
62,5167,chair,0.45,0.6917,0.6172,0.2972,0.325
63,5250,person,0.777,0.3167,0.2758,0.3708,0.6656
63,5250,chair,0.621,0.2111,0.5266,0.2569,0.3891
63,5250,chair,0.444,0.6889,0.6148,0.2986,0.3273
64,5333,person,0.79,0.3208,0.2727,0.3694,0.6687
64,5333,chair,0.613,0.2111,0.5281,0.2569,0.3875
64,5333,chair,0.454,0.6903,0.6117,0.3,0.3289
65,5417,person,0.829,0.3278,0.2742,0.3653,0.6656
65,5417,chair,0.616,0.2125,0.525,0.2597,0.3891
65,5417,chair,0.461,0.6833,0.5984,0.3056,0.3445
66,5500,person,0.866,0.3361,0.2617,0.3708,0.6992
66,5500,chair,0.61,0.2181,0.5273,0.2611,0.3828
66,5500,chair,0.438,0.6819,0.6062,0.3069,0.3359
67,5583,person,0.858,0.3403,0.2656,0.4,0.6945
67,5583,chair,0.596,0.2167,0.5305,0.2736,0.3812
67,5583,chair,0.459,0.675,0.6016,0.3139,0.3414
68,5667,person,0.805,0.3347,0.2687,0.4403,0.6844
68,5667,chair,0.593,0.2181,0.5344,0.2778,0.3789
68,5667,chair,0.45,0.6778,0.6172,0.3153,0.3234
68,5667,chair,0.361,0.5139,0.5922,0.2444,0.3422
69,5750,person,0.725,0.3417,0.2672,0.4597,0.6844
69,5750,chair,0.603,0.2194,0.532,0.2806,0.3836
69,5750,chair,0.458,0.6778,0.5891,0.3139,0.3547
70,5833,person,0.747,0.3458,0.2687,0.4792,0.6773
70,5833,chair,0.627,0.2167,0.5344,0.2833,0.382
71,5917,person,0.736,0.35,0.2672,0.5153,0.6859
71,5917,chair,0.639,0.2153,0.5391,0.2833,0.3773
72,6000,person,0.698,0.3944,0.2602,0.4903,0.6766
72,6000,chair,0.64,0.2139,0.5383,0.2903,0.3773
73,6083,person,0.72,0.4014,0.2594,0.4889,0.6781
73,6083,chair,0.644,0.2139,0.5391,0.2958,0.3766
74,6167,person,0.743,0.4,0.2633,0.5,0.6742
74,6167,chair,0.642,0.2139,0.5398,0.2944,0.3758
75,6250,person,0.736,0.3986,0.2664,0.5056,0.6508
75,6250,chair,0.635,0.2139,0.5406,0.2944,0.3742
76,6333,person,0.735,0.3875,0.2703,0.5153,0.6516
76,6333,chair,0.641,0.2139,0.5398,0.2972,0.3742
77,6417,person,0.725,0.3792,0.2773,0.5278,0.6461
77,6417,chair,0.637,0.2153,0.5406,0.2972,0.3734
78,6500,person,0.737,0.3778,0.2781,0.5319,0.6445
78,6500,chair,0.641,0.2139,0.5406,0.2986,0.3734
79,6583,person,0.744,0.3792,0.2781,0.5306,0.6438
79,6583,chair,0.64,0.2139,0.5406,0.2986,0.3734
80,6667,person,0.729,0.3806,0.275,0.525,0.6477
80,6667,chair,0.632,0.2139,0.5406,0.2986,0.3742
81,6750,person,0.754,0.3764,0.275,0.5333,0.6453
81,6750,chair,0.642,0.2139,0.5406,0.2972,0.3742
82,6833,person,0.734,0.3792,0.2742,0.5278,0.6453
82,6833,chair,0.64,0.2153,0.5406,0.2958,0.375
83,6917,person,0.666,0.3514,0.2672,0.5278,0.6937
83,6917,chair,0.646,0.2139,0.5414,0.2944,0.3742
84,7000,person,0.777,0.3431,0.2711,0.4681,0.6805
84,7000,chair,0.642,0.2139,0.5406,0.2944,0.3742
84,7000,cup,0.372,0.8583,0.6086,0.0778,0.068
85,7083,person,0.884,0.3639,0.2742,0.375,0.6625
85,7083,chair,0.627,0.2167,0.5375,0.2875,0.3773
85,7083,dining table,0.448,0.7,0.6375,0.2875,0.2938
86,7167,person,0.899,0.35,0.2789,0.3569,0.6586
86,7167,chair,0.62,0.2194,0.532,0.2792,0.3836
86,7167,dining table,0.43,0.7111,0.6422,0.2764,0.2914
87,7250,person,0.855,0.3236,0.2734,0.375,0.6617
87,7250,chair,0.601,0.2208,0.5297,0.2736,0.3844
87,7250,dining table,0.409,0.6958,0.632,0.2889,0.3008
88,7333,person,0.847,0.3056,0.2703,0.3736,0.6805
88,7333,chair,0.623,0.2167,0.5477,0.2625,0.3766
88,7333,dining table,0.418,0.6944,0.6234,0.2889,0.3094
89,7417,person,0.87,0.2931,0.2656,0.3847,0.6875
89,7417,chair,0.62,0.2125,0.5469,0.2625,0.3758
89,7417,dining table,0.443,0.6931,0.6156,0.2917,0.318
90,7500,person,0.887,0.3028,0.2664,0.3722,0.6852
90,7500,chair,0.662,0.2125,0.5453,0.2653,0.3758
90,7500,dining table,0.419,0.6861,0.6062,0.2972,0.3266
90,7500,chair,0.385,0.5667,0.5773,0.1972,0.3617
91,7583,person,0.879,0.3028,0.2672,0.3681,0.6828
91,7583,chair,0.655,0.2125,0.5414,0.2611,0.3766
91,7583,dining table,0.423,0.6889,0.6031,0.2958,0.3289
91,7583,chair,0.393,0.5569,0.5758,0.2056,0.3641
92,7667,person,0.88,0.2958,0.2664,0.3639,0.6844
92,7667,chair,0.642,0.2125,0.5406,0.2611,0.3789
92,7667,dining table,0.432,0.6903,0.6039,0.2944,0.3273
92,7667,chair,0.376,0.5556,0.575,0.2056,0.3641
93,7750,person,0.903,0.2875,0.2641,0.3667,0.6883
93,7750,chair,0.639,0.2125,0.5437,0.2611,0.3758
93,7750,dining table,0.425,0.6833,0.6016,0.3014,0.3312
93,7750,chair,0.395,0.5556,0.5719,0.2097,0.3648
94,7833,person,0.901,0.2875,0.2648,0.3681,0.6875
94,7833,chair,0.626,0.2125,0.543,0.2583,0.3781
94,7833,dining table,0.414,0.6847,0.5992,0.3,0.3336
94,7833,chair,0.377,0.5569,0.5719,0.2111,0.3656
95,7917,person,0.902,0.2806,0.2656,0.3764,0.6906
95,7917,chair,0.59,0.2139,0.5422,0.2569,0.3812
95,7917,dining table,0.396,0.6917,0.6031,0.2931,0.3297
