frame,timestamp_ms,hand,landmark_id,landmark_name,x,y,z,world_x,world_y,world_z,handedness_score
0,0,left,0,WRIST,0.5730366,0.6115866,8.471038e-09,0.041541316,-0.023281883,0.07528062,0.9874236583709717
0,0,left,1,THUMB_CMC,0.55042917,0.61445373,-0.00035722132,0.010477578,-0.019966811,0.058753148,0.9874236583709717
0,0,left,2,THUMB_MCP,0.529781,0.619825,-0.003910333,-0.01571741,-0.010617171,0.04267399,0.9874236583709717
0,0,left,3,THUMB_IP,0.516162,0.6264148,-0.007399922,-0.03198517,0.0034892475,0.014523819,0.9874236583709717
0,0,left,4,THUMB_TIP,0.51094574,0.6320321,-0.011969783,-0.04229056,0.017182808,-0.003693238,0.9874236583709717
0,0,left,5,INDEX_FINGER_MCP,0.5357444,0.6174076,-0.013744391,-0.017350845,-0.008864638,0.0016081631,0.9874236583709717
0,0,left,6,INDEX_FINGER_PIP,0.51966107,0.6308471,-0.021055305,-0.033412427,0.010917527,-0.000116199255,0.9874236583709717
0,0,left,7,INDEX_FINGER_DIP,0.5131666,0.6380622,-0.0249888,-0.04262707,0.029993802,0.012788609,0.9874236583709717
0,0,left,8,INDEX_FINGER_TIP,0.5096471,0.6429608,-0.026867885,-0.04502717,0.042881344,0.0317356,0.9874236583709717
0,0,left,9,MIDDLE_FINGER_MCP,0.54965454,0.6203751,-0.017032884,-0.003822018,-0.0015380963,-0.0025828257,0.9874236583709717
0,0,left,10,MIDDLE_FINGER_PIP,0.53097177,0.6344426,-0.02227961,-0.022598132,0.025126323,-0.0036484823,0.9874236583709717
0,0,left,11,MIDDLE_FINGER_DIP,0.5229036,0.64123404,-0.02347614,-0.03238143,0.04050997,0.01507546,0.9874236583709717
0,0,left,12,MIDDLE_FINGER_TIP,0.51741177,0.64533895,-0.024794549,-0.03948179,0.05502382,0.038264185,0.9874236583709717
0,0,left,13,RING_FINGER_MCP,0.5625064,0.6241255,-0.019712366,0.013676899,0.0073378063,-0.0026745126,0.9874236583709717
0,0,left,14,RING_FINGER_PIP,0.54326993,0.6368984,-0.024100637,-0.0032758713,0.029196423,-0.002248168,0.9874236583709717
0,0,left,15,RING_FINGER_DIP,0.5351062,0.6432481,-0.022480924,-0.014570567,0.040149763,0.014634255,0.9874236583709717
0,0,left,16,RING_FINGER_TIP,0.52949715,0.6473795,-0.02161914,-0.021356087,0.0521313,0.037475005,0.9874236583709717
0,0,left,17,PINKY_MCP,0.5742532,0.6287288,-0.022190237,0.030895479,0.0147741735,0.0098388735,0.9874236583709717
0,0,left,18,PINKY_PIP,0.5575573,0.63800013,-0.025839044,0.013065696,0.027754622,0.006131679,0.9874236583709717
0,0,left,19,PINKY_DIP,0.5485226,0.6427232,-0.024061728,0.00024482608,0.043614883,0.014236793,0.9874236583709717
0,0,left,20,PINKY_TIP,0.5423833,0.6468042,-0.022681583,-0.008013325,0.0549597,0.02754809,0.9874236583709717
0,0,right,0,WRIST,0.44277573,0.6130989,7.925306e-08,-0.048606128,-0.01641744,0.0667406,0.9938070178031921
0,0,right,1,THUMB_CMC,0.46929693,0.6135509,-0.003652345,-0.016991902,-0.020855999,0.054840535,0.9938070178031921
0,0,right,2,THUMB_MCP,0.4918549,0.6174867,-0.008350801,0.0029525282,-0.0085000275,0.04238555,0.9938070178031921
0,0,right,3,THUMB_IP,0.5073359,0.6253728,-0.01192678,0.021872172,0.00487886,0.025323275,0.9938070178031921
0,0,right,4,THUMB_TIP,0.51636624,0.632205,-0.014990438,0.038580142,0.014805385,0.009195879,0.9938070178031921
0,0,right,5,INDEX_FINGER_MCP,0.49020755,0.6150357,-0.018100737,0.011885547,-0.009473531,0.0004503727,0.9938070178031921
0,0,right,6,INDEX_FINGER_PIP,0.51667017,0.62850606,-0.026376655,0.030864734,0.008665982,-0.0013055578,0.9938070178031921
0,0,right,7,INDEX_FINGER_DIP,0.5286259,0.6364522,-0.028571188,0.045229465,0.02239093,0.014901571,0.9938070178031921
0,0,right,8,INDEX_FINGER_TIP,0.5364094,0.6428577,-0.02837219,0.055723295,0.03255357,0.026975572,0.9938070178031921
0,0,right,9,MIDDLE_FINGER_MCP,0.47800878,0.62112564,-0.018985642,0.003210142,-0.0018817827,-0.0009328425,0.9938070178031921
0,0,right,10,MIDDLE_FINGER_PIP,0.50746787,0.6363196,-0.025980888,0.025618542,0.019537132,-0.008223753,0.9938070178031921
0,0,right,11,MIDDLE_FINGER_DIP,0.52290636,0.6437867,-0.025496507,0.046269484,0.03233027,0.0061823726,0.9938070178031921
